순위_1개월박스	분류	로케이션	제품명	바코드
324	탑백 리빙박스	320-A1-2-16	보노하우스 탑백 리빙박스 72L 크림 4개	R015379280003
325	슬림서랍장	320-A1-1-218	슬림 서랍장 6단 아이보리	R000695390025
326	북 트롤리	320-A1-2-118	보노하우스 모던 북 트롤리 수납 정리함 모던블루 5단 1개	R016128090003
327	에센셜	320-A1-1-922	보노하우스 심플리 베이직 서랍장 2단 화이트 1개	R013011210003
328	맥스	320-A1-1-509	보노하우스 국내제조 맥스 이동식 서랍장 다크투명 1개 2단(360 x 430 x 495 mm)	R244125530003
329	레브 스토리지	320-A1-1-494	Box_레브스토리지_M_투명_3개	R000420310016
330	토이	320-A1-2-153	보노하우스 대용량 멀티바스켓  바퀴 1세트 포함 크림 2개	R218136170004
331	핸들러 바스켓	320-A1-1-271	보노하우스 리빙 그립 바스켓 슬림형 8개 크림 1팩	R012218820001
332	레브 스토리지	320-A1-1-492	Box_레브스토리지_M_화이트_3개	R000420310018
333	리빙박스 로코스	320-A1-1-368	아이엠 리빙박스 수납정리함 L 네이비 2개	R006878750002
334	리빙박스 로코스	320-A1-1-266	보노하우스 로코스 수납 바스켓 XS 6개 화이트 1팩	R010638740002
335	리빙박스 로코스	320-A1-1-362	아이엠 리빙박스 수납정리함 S 크림 2개	R006207930004
336	리빙박스 로코스	320-A1-1-391	보노하우스 국내 제조 팬트리수납 정리바스켓 버터 2개 XS	R233050520004
337	야채바구니	320-A1-2-37	보노하우스 국내제조 코지 바스켓 타워  화이트 1개 2단	R249633900001
338	옷걸이	320-A1-1-355	보노하우스 국내제조 몽드 아동옷걸이 블루 20개	R254631240005
339	모던 플러스	320-A1-1-43	보노하우스 국내제조 템바보드 서랍장 6단 버터 1개 6단 562 x 420 x 1172 mm	R245371660005
340	모던 플러스	320-A1-1-674	보노하우스 라탄플러스 우드상판 서랍장 딥그린 6단 1개 562mm	R222633120015
341	와이드 서랍장	320-A1-1-764	보노하우스 심플리 와이드 서랍장 6단 라이트 그레이 1개	R011622510002
342	와이드 서랍장	320-A1-1-754	보노하우스 심플리 와이드 서랍장 5단  라이트 그레이 1개	R011622220002
343	맥스	320-A1-1-540	보노하우스 맥스 서랍장 투명 5단 1개	R013797030005
344	와이드 서랍장	320-A1-1-740	보노하우스 가든 라탄 와이드 4단 서랍장 크림 1개	R011670060002
345	맥스	320-A1-1-534	보노하우스 어반 우드상판 베이직 서랍장  4단 다크투명 1개	R013890870009
346	탑백 리빙박스	320-A1-2-10	보노하우스 탑백 리빙박스 52리터 크림 4개	R013009800005
347	모던 플러스	320-A1-1-34	보노하우스 국내제조 템바보드 서랍장 네이비 1개 2단 562mm	R243348780002
348	모던 플러스	320-A1-1-662	보노하우스 라탄플러스 우드상판 서랍장 딥그린 2단 1개 562mm	R222633000003
349	토이	320-A1-2-154	보노하우스 대용량 멀티바스켓  바퀴 1세트 포함 크림 4개	R218136140001
350	슬림서랍장	320-A1-1-217	보노 슬림서랍장 5단 투명(바퀴포함)	R001475620024
351	와이드 서랍장	320-A1-1-730	보노하우스 가든 라탄 와이드 3단 서랍장 크림 1개	R011670300002
352	슬림서랍장	320-A1-1-220	슬림 틈새 서랍장 6단 그레이	R004065760001
353	맥스	320-A1-1-506	보노하우스 어반 우드상판 베이직 서랍장  2단 투명 1개	R013890870001
354	초대형	320-A1-1-100	Box_모던초대형해피박스_그레이_4개	R000538800011
355	슬림서랍장	320-A1-1-234	슬림 서랍장 4단 그레이	R000695390016
356	북 트롤리	320-A1-2-100	보노하우스 베이직 이동식 북 트롤리 화이트 5단 1개	R203810490012
357	리빙카트	320-A1-2-185	모던 리빙카트 트롤리 3단 네이비	R006266960001
358	옷걸이	320-A1-1-323	보노하우스 와이드 튼튼 어깨뿔방지 옷걸이 그레이 20개  1팩	R013917230003
359	슬림웨건	320-A1-1-373	보노하우스 올데이 이동식 트롤리 화이트 3단 1개	R218872170003
360	이유 정리함	320-A1-1-696	보노하우스 워크박스 부품 공구 수납함 레드 6개 15.5 x 23.5 x 11.2 cm	R246905780008
361	초대형	320-A1-1-104	BOX_모던초대형 해피박스 2P 블루+그레이	R001327720002
362	초대형	320-A1-1-106	BOX_모던초대형 해피박스 2P 네이비+그레이	R001327720006
363	북 트롤리	320-A1-2-134	보노하우스 베이직 북트롤리 2단 화이트 1개	R217989060003
364	모던 플러스	320-A1-1-41	보노하우스 국내제조 템바보드 서랍장 6단 네이비 1개 6단 562 x 420 x 1172 mm	R245371640003
365	모던 플러스	320-A1-1-612	뉴모던플러스 우드형상판 5단 핑크	R000150580040
366	슬림형 서랍장	320-A1-1-481	보노하우스 심플리 슬림 서랍장 8단 크림 1개	R012426830001
367	모던 플러스	320-A1-1-607	보노하우스 모던플러스 내추럴오크 우드상판 서랍장 버터 5단 1개	R016233030001
368	모던 플러스	320-A1-1-606	보노하우스 모던플러스 내추럴오크 우드상판 서랍장 라이트그레이 5단 1개	R016233030002
369	슬림형 서랍장	320-A1-1-483	보노하우스 라탄 슬림 서랍장 8단 브라운 1개	R011190790002
370	와이드 서랍장	320-A1-1-758	보노하우스 세라비 우드상판 와이드 서랍장 화이트 5단 1개	R212660660010
371	모던 플러스	320-A1-1-15	뉴모던플러스 5단 레인보우	R000150580031
372	와이드 서랍장	320-A1-1-755	보노하우스 가든 라탄 서랍장 와이드화이트 5단 1개	R206610760005
373	모던 플러스	320-A1-1-610	보노하우스 모던플러스 내추럴오크 우드상판 서랍장 라이트그레이 3단 1개	R016233030006
374	맥스	320-A1-1-526	보노하우스 어반 우드상판 베이직 서랍장  4단 화이트 1개	R013890870011
375	탑백 리빙박스	320-A1-2-12	보노하우스 탑백 리빙박스 52리터 그레이 4개	R013009800006
376	슬림형 서랍장	320-A1-1-441	보노하우스 심플리 슬림 서랍장 4단 크림 1개	R011191610001
377	맥스	320-A1-1-521	보노하우스 국내제조 맥스 이동식 서랍장 다크투명 1개 3단(360 x 430 x 705 mm)	R244125560006
378	슬림형 서랍장	320-A1-1-424	보노하우스 심플리 슬림 서랍장 2단 라이트 그레이 1개	R011191110002
379	토이	320-A1-2-152	보노하우스 대용량 멀티바스켓  바퀴 1세트 포함 화이트 2개	R218136160003
380	탑백 리빙박스	320-A1-2-21	보노하우스 플라스틱 리빙박스 반투명 52리터 2개	R015787750003
381	북 트롤리	320-A1-2-96	보노하우스 베이직 이동식 북 트롤리 버터 4단 1개	R203810410004
382	옷걸이	320-A1-1-183	보노하우스 어반 어깨뿔 방지 옷걸이 블랙 50개	R013338780004
383	리빙박스 로코스	320-A1-1-295	보노하우스 레인포그 반투명 라운드 리빙박스 S 4개	R011140120001
384	리빙박스 로코스	320-A1-1-308	보노하우스 로코스 수납 바스켓 XS 8개 화이트 1팩	R010589610001
385	탑백 리빙박스	320-A1-2-19	보노하우스 플라스틱 리빙박스 반투명 24리터 2개	R015787750001
386	리빙박스 로코스	320-A1-1-390	보노하우스 국내 제조 팬트리수납 정리바스켓 반투명 2개 XS	R233050500002
387	이유 정리함	320-A1-1-689	보노하우스 워크박스 부품 공구 수납함 블루 4개 15.5 x 23.5 x 11.2 cm	R246905760006
388	미니 해피	320-A1-2-137	보노하우스 모던 미니 해피박스 정리함 핑크 2개 22 x 22 x 14 cm	R246038010001
389	와이드 서랍장	320-A1-1-767	보노하우스 세라비 우드상판 와이드 서랍장 크림 6단 1개	R212660610005
390	모던 플러스	320-A1-1-671	보노하우스 라탄플러스 우드상판 서랍장 딥그린 5단 1개 562mm	R222633090012
391	모던 플러스	320-A1-1-24	보노하우스 모던플러스 서랍장 티크 우드 상판형 티크 우드 5단 1개	R205228400001
392	모던 플러스	320-A1-1-609	보노하우스 모던플러스 내추럴오크 우드상판 서랍장 버터 4단 1개	R016233030003
393	와이드 서랍장	320-A1-1-763	보노하우스 가든 라탄 와이드 6단 서랍장 브라운 1개	R011671310001
394	슬림형 서랍장	320-A1-1-474	보노하우스 심플리 슬림 서랍장 7단 라이트 그레이 1개	R011427100001
395	와이드 서랍장	320-A1-1-751	보노하우스 심플리 와이드 서랍장 5단  크림 1개	R011622220001
396	와이드 서랍장	320-A1-1-747	보노하우스 세라비 우드상판 와이드 서랍장 크림 4단 1개	R212660620006
397	모던 플러스	320-A1-1-611	보노하우스 모던플러스 내추럴오크 우드상판 서랍장 버터 3단 1개	R016233030005
398	모던 플러스	320-A1-1-665	보노하우스 라탄플러스 우드상판 서랍장 딥그린 3단 1개 562mm	R222633030006
399	맥스	320-A1-1-544	보노하우스 맥스 서랍장 다크투명 5단 1개	R013797030004
400	와이드 서랍장	320-A1-1-738	보노하우스 세라비 우드상판 와이드 서랍장 화이트 3단 1개	R212660710015
401	와이드 서랍장	320-A1-1-794	보노하우스 시에나 우드상판 서랍장 화이트 와이드 3단 1개 550X420X627mm	R227054830007
402	에센셜	320-A1-1-776	보노하우스 에버 라탄 우드상판 서랍장 브라운 3단 1개	R214219240017
403	맥스	320-A1-1-524	보노하우스 맥스 화이트 서랍장 4단 1개	R014689640003
404	슬림서랍장	320-A1-1-213	보노 슬림서랍장 5단 화이트(바퀴포함)	R001475620022
405	슬림형 서랍장	320-A1-1-440	보노하우스 라탄 슬림 서랍장 4단 크림 1개	R011194020001
406	에센셜	320-A1-1-843	보노하우스 위클리 서랍장 버터 4단 1개	R208070540019
407	이불정리함	320-A1-1-402	보노하우스 접이식 언더베드 대형 이불 정리함 투명 2개 90리터	R244125660004
408	와이드 서랍장	320-A1-1-724	보노하우스 심플리 와이드 서랍장 2단 라이트 그레이 1개	R011622230002
409	맥스	320-A1-1-517	보노하우스 국내제조 맥스 이동식 서랍장 투명 1개 3단(360 x 430 x 705 mm)	R244125550005
410	트레이	320-A1-1-177	보노하우스 슬라이딩 옷정리 적층 트레이 티셔츠 트레이 30개	R014930400009
411	북 트롤리	320-A1-2-105	보노하우스 베이직 이동식 북 트롤리 화이트 6단 1개	R203810480011
412	오픈 스텝	320-A1-2-42	022 오픈 스텝바스켓 4단 그레이	R001022730022
413	옷걸이	320-A1-1-327	보노하우스 와이드 튼튼 어깨뿔방지 옷걸이 그레이 30개  1팩	R013917230004
414	핸들러 바스켓	320-A1-1-382	보노하우스 다용도 트레이  반투명 대형 8개	R012949320001
415	해피	320-A1-2-54	Box_모던해피박스_블루_2개	R000538800019
416	리빙박스 로코스	320-A1-1-299	아이엠 리빙박스 수납정리함 L 크림 2개	R006102350013
417	레브 스토리지	320-A1-1-493	Box_레브스토리지_M_아이보리_3개	R000420310014
418	오픈형 바지걸이	320-A1-1-345	보노하우스 윌로우 오픈형 바지걸이 그레이 20개	R227493710004
419	슬림웨건	320-A1-1-371	보노하우스 올데이 이동식 트롤리 크림 2단 1개	R218872160002
420	리빙박스 로코스	320-A1-1-298	아이엠 리빙박스 수납정리함 L 화이트 2개	R006207930003
421	미니 해피	320-A1-2-138	보노하우스 모던 미니 해피박스 정리함 블루 2개 22 x 22 x 14 cm	R246038020002
422	모던 플러스	320-A1-1-623	뉴모던플러스 우드형상판 5단 옐로우	R000150580038
423	와이드 서랍장	320-A1-1-759	보노하우스 세라비 우드상판 와이드 서랍장 라이트그레이 5단 1개	R212660570001
424	모던 플러스	320-A1-1-668	보노하우스 라탄플러스 우드상판 서랍장 딥그린 4단 1개 562mm	R222633060009
425	맥스	320-A1-1-550	보노하우스 어반 우드상판 베이직 서랍장  6단 화이트 1개	R013890870004
426	맥스	320-A1-1-558	보노하우스 어반 우드상판 베이직 서랍장  6단 다크투명 1개	R013890870007
427	에센셜	320-A1-1-910	보노하우스 세라비 우드상판 서랍장 화이트 5단 1개	R212660850014
428	에센셜	320-A1-1-878	보노하우스 위클리 서랍장 화이트 6단 1개	R208070490014
429	모던 플러스	320-A1-1-26	보노하우스 모던플러스 서랍장 티크 우드 상판형 티크 우드 3단 1개	R205228420003
430	슬림형 서랍장	320-A1-1-454	보노하우스 심플리 슬림 서랍장 5단 라이트 그레이 1개	R011191900002
431	슬림형 서랍장	320-A1-1-450	보노하우스 라탄 슬림 서랍장 5단 크림 1개	R011193750001
432	에센셜	320-A1-1-942	보노하우스 심플리 베이직 서랍장 4단 화이트 1개	R013021990003
433	에센셜	320-A1-1-806	가든 라탄 플라스틱 서랍장 일반형 4단 크림	R010512110005
434	와이드 서랍장	320-A1-1-735	보노하우스 가든 라탄 서랍장 와이드화이트 3단 1개	R206610740003
435	맥스	320-A1-1-522	보노하우스 어반 우드상판 베이직 서랍장  3단 다크투명 1개	R013890870012
436	슬림서랍장	320-A1-1-219	슬림 서랍장 5단 아이보리	R000695390019
437	와이드 서랍장	320-A1-1-722	보노하우스 심플리 와이드 서랍장 2단 화이트 1개	R011622230003
438	북 트롤리	320-A1-2-121	보노하우스 모던 북 트롤리 수납 정리함 버터 6단 1개	R016128090001
439	에센셜	320-A1-1-833	보노하우스 위클리 서랍장 버터 3단 1개	R208070520017
440	옷걸이	320-A1-1-328	보노하우스 와이드 튼튼 어깨뿔방지 옷걸이 블랙 50개 1팩	R014043450003
