barcode,skuId,productName,category,location,inventoryDate,currentStock,minStock,safetyStock,reorderPoint,maxStock,stockStatus,coverDays,outbound14dTotal,avgDailyOutbound14d,outbound30dTotal,avgDailyOutbound30d,lifecycleStatus
R245371660005,67816627,보노하우스 국내제조 템바보드 서랍장 6단 버터 1개 6단 562 x 420 x 1172 m,모던 플러스,320-A1-1-43,2026-04-16,4,1,1,1,8,normal,11.20,5,0.36,8,0.27,active
R245371670006,67816628,보노하우스 국내제조 템바보드 서랍장 6단 모던핑크 1개 6단 562 x 420 x 1172,모던 플러스,320-A1-1-44,2026-04-16,10,1,1,1,11,normal,70.00,2,0.14,11,0.37,active
R000538800011,3094767,Box_모던초대형해피박스_그레이_4개,초대형,320-A1-1-100,2026-04-16,8,1,1,1,8,normal,56.00,2,0.14,8,0.27,active
R000538800006,3094762,Box_모던초대형해피박스_그레이_3개,초대형,320-A1-1-101,2026-04-16,24,0,0,0,3,high,168.00,2,0.14,3,0.10,active
R001327720003,7097072,BOX_모던초대형 해피박스 2P 블루+바이올렛,초대형,320-A1-1-102,2026-04-16,3,2,2,2,20,normal,3.50,12,0.86,20,0.67,active
R001327720004,7097073,BOX_모던초대형 해피박스 2P 블루+네이비,초대형,320-A1-1-103,2026-04-16,25,1,1,1,6,high,350.00,1,0.07,6,0.20,active
R240325720001,64528481,보노하우스 모던플러스 우드상판 서랍장 2단 화이트 오크 1개 550 X 400 X 410m,모던 플러스,320-A1-1-29,2026-04-16,27,5,5,5,54,normal,14.00,27,1.93,54,1.80,active
R240325730002,64528482,보노하우스 모던플러스 우드상판 서랍장 2단 내츄럴 오크 1개 550 X 400 X 410m,모던 플러스,320-A1-1-30,2026-04-16,33,8,8,8,79,normal,14.44,32,2.29,79,2.63,active
R243081150002,66075047,보노하우스 국내제조 모던플러스 우드상판 서랍장 화이트+내추럴 오크 1개 6단 550 x 4,모던 플러스,320-A1-1-31,2026-04-16,14,6,6,6,59,normal,6.12,32,2.29,59,1.97,active
R243081140001,66075046,보노하우스 국내제조 모던플러스 우드상판 서랍장 화이트+화이트 오크 1개 6단 550 x 4,모던 플러스,320-A1-1-32,2026-04-16,9,3,3,3,31,normal,7.41,17,1.21,31,1.03,active
